;wine type;fixed acidity;volatile acidity;citric acid;residual sugar;magnesium;flavanoids;minerals;calcium;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
434;Cabernet Sauvignon;7.1;0.32;0.32;11.0;93.22020095785707;1109.95;458.04020095785705;364.82;0.038;16.0;66.0;0.9937;3.24;0.4;11.5;3
435;Chardonnay;8.0;0.25;0.13;17.2;26.451707810219048;587.79;287.33170781021903;260.88;0.036;49.0;219.0;0.9996;2.96;0.46;9.7;5
436;Gamay;8.8;0.2;0.43;15.0;96.43140797406676;690.73;229.03140797406675;132.6;0.053;60.0;184.0;1.0008;3.28;0.79;8.8;2
437;Chardonnay;8.2;0.23;0.4;1.2;80.12344615875799;1100.63;324.22344615875795;244.1;0.027;36.0;121.0;0.992;3.12;0.38;10.7;6
438;Chardonnay;6.6;0.25;0.39;1.45;4.766480031944342;1278.41;253.51648003194435;248.75;0.04;40.0;89.0;0.9911;3.35;0.4;11.4;7
439;Pinot noir;7.2;0.27;0.28;15.2;75.49545448990219;581.22;258.6854544899022;183.19;0.046;6.0;41.0;0.99665;3.17;0.39;10.9;6
440;Cabernet Sauvignon;7.8;0.22;0.36;1.4;23.06299399545019;699.8;304.1629939954502;281.1;0.056;21.0;153.0;0.993;3.2;0.53;10.4;6
441;Pinot noir;6.0;0.16;0.37;1.5;59.204094433183585;912.36;439.84409443318356;380.64;0.025;43.0;117.0;0.9928;3.46;0.51;9.7;6
442;Chardonnay;6.7;0.27;0.12;1.3;74.01768404035496;359.9;322.32768404035494;248.31;0.041;62.0;138.0;0.9921;3.21;0.42;10.0;6
443;Chardonnay;6.6;0.23;0.37;8.5;35.63916824333677;1387.09;258.1291682433368;222.49;0.036;46.0;153.0;0.99576;3.2;0.48;9.4;6
444;Chardonnay;7.7;0.15;0.29;1.3;41.0802694351925;646.21;296.5302694351925;255.45;0.029;10.0;64.0;0.9932;3.35;0.39;10.1;5
445;Chardonnay;7.3;0.24;0.29;1.2;92.3341285791733;1147.3;318.5741285791733;226.24;0.037;37.0;97.0;0.9926;3.19;0.7;10.1;6
446;Gamay;6.8;0.19;0.4;9.85;59.469053348871284;730.1;195.94905334887127;136.48;0.055;41.0;103.0;0.99532;2.98;0.56;10.5;2
447;Chardonnay;6.9;0.38;0.28;8.3;16.584925125109407;908.34;317.9049251251094;301.32;0.062;22.0;166.0;0.99506;3.16;0.72;10.6;5
448;Pinot noir;8.9;0.24;0.33;15.75;40.07439349361878;939.34;295.1543934936188;255.08;0.035;16.0;132.0;0.996;3.0;0.37;12.1;6
449;Merlot;6.2;0.33;0.19;5.6;61.73641844527863;774.08;272.64641844527864;210.91;0.042;22.0;143.0;0.99425;3.15;0.63;9.9;5
450;Chardonnay;6.9;0.21;0.33;1.4;53.186129758087795;673.66;400.3761297580878;347.19;0.056;35.0;136.0;0.9938;3.63;0.78;10.3;6
451;Chardonnay;6.9;0.23;0.41;8.0;6.921107092240819;1167.54;290.80110709224084;283.88;0.03;30.0;114.0;0.99368;3.22;0.54;11.0;6
452;Cabernet Sauvignon;6.2;0.235;0.34;1.9;74.10084893938685;1299.86;273.2208489393869;199.12;0.036;4.0;117.0;0.99032;3.4;0.44;12.2;5
453;Cabernet Sauvignon;6.5;0.29;0.52;7.9;74.65711279721984;684.9;234.90711279721984;160.25;0.049;35.0;192.0;0.99551;3.16;0.51;9.5;6
454;Chardonnay;6.3;0.3;0.91;8.2;13.135922262587806;854.25;229.0359222625878;215.9;0.034;50.0;199.0;0.99394;3.39;0.49;11.7;6
455;Chardonnay;6.4;0.29;0.21;9.65;30.43604743992364;715.11;199.32604743992363;168.89;0.041;36.0;119.0;0.99334;2.99;0.34;10.9333333333333;6
456;Chardonnay;5.8;0.32;0.38;4.75;75.66159905636012;1454.58;294.3415990563601;218.68;0.033;23.0;94.0;0.991;3.42;0.42;11.8;7
457;Merlot;6.2;0.37;0.24;6.1;52.345385875087324;880.05;311.8653858750873;259.52;0.032;19.0;86.0;0.98934;3.04;0.26;13.4;8
458;Cabernet Sauvignon;5.7;0.21;0.24;2.3;81.23455116329104;853.17;284.85455116329103;203.62;0.047;60.0;189.0;0.995;3.65;0.72;10.1;6
459;Merlot;6.7;0.22;0.22;1.2;71.91396925804571;1468.27;349.7439692580457;277.83;0.038;5.0;124.0;0.99098;3.1;0.37;11.2;4
460;Pinot noir;7.6;0.16;0.41;1.9;84.63463596325904;1113.42;362.18463596325904;277.55;0.047;27.0;151.0;0.9937;3.2;0.53;10.1;6
461;Chardonnay;7.8;0.24;0.38;2.1;40.587978793473546;1338.13;288.58797879347355;248.0;0.058;14.0;167.0;0.994;3.21;0.55;9.9;5
462;Chardonnay;6.6;0.13;0.3;4.9;64.85902168770922;378.08;221.21902168770924;156.36;0.058;47.0;131.0;0.9946;3.51;0.45;10.3;6
463;Merlot;6.4;0.25;0.53;6.6;0.6364745523365412;1075.53;279.71647455233654;279.08;0.038;59.0;234.0;0.9955;3.03;0.42;8.8;5
464;Pinot noir;6.5;0.24;0.36;2.2;94.42761363212405;863.9;401.55761363212406;307.13;0.027;36.0;134.0;0.9898;3.28;0.36;12.5;7
465;Cabernet Sauvignon;6.7;0.19;0.32;3.7;27.401202191143703;1220.67;189.80120219114372;162.4;0.041;26.0;76.0;0.99173;2.9;0.57;10.5;7
466;Pinot noir;6.2;0.2;0.49;1.6;24.816546154470466;662.6;239.01654615447046;214.2;0.065;17.0;143.0;0.9937;3.22;0.52;9.2;6
467;Pinot noir;6.6;0.31;0.49;7.7;65.11427290933919;1132.45;382.6842729093392;317.57;0.05;52.0;220.0;0.9964;3.12;0.45;8.8;5
468;Merlot;6.5;0.33;0.32;1.0;4.508834262143402;603.72;306.4288342621434;301.92;0.041;39.0;120.0;0.99004;3.06;0.37;12.2;6
469;Pinot noir;7.4;0.29;0.31;1.7;49.84035713228714;1183.22;175.96035713228713;126.12;0.035;23.0;110.0;0.9926;3.07;0.38;10.9;5
470;Cabernet Sauvignon;6.6;0.35;0.29;14.4;55.94011699179936;1285.37;377.9201169917994;321.98;0.044;54.0;177.0;0.9991;3.17;0.58;8.9;6
471;Merlot;6.8;0.29;0.32;1.8;82.09141849365137;998.59;287.27141849365137;205.18;0.032;18.0;130.0;0.99095;3.05;0.62;11.2;6
472;Pinot noir;5.5;0.16;0.22;4.5;13.545674416232156;1488.74;246.38567441623215;232.84;0.03;30.0;102.0;0.9938;3.24;0.36;9.4;6
473;Pinot noir;7.4;0.22;0.33;2.0;34.52572180861818;892.39;332.2557218086182;297.73;0.045;31.0;101.0;0.9931;3.42;0.55;11.4;5
474;Cabernet Sauvignon;6.2;0.23;0.36;17.2;98.72744021452365;662.55;347.34744021452366;248.62;0.039;37.0;130.0;0.99946;3.23;0.43;8.8;6
475;Pinot noir;6.0;0.29;0.21;15.55;17.642023608634283;859.57;247.92202360863428;230.28;0.043;20.0;142.0;0.99658;3.11;0.54;10.1;6
476;Cabernet Sauvignon;5.8;0.26;0.18;1.2;51.52006580190318;989.62;433.7000658019032;382.18;0.031;40.0;114.0;0.9908;3.42;0.4;11.0;7
477;Cabernet Sauvignon;5.9;0.3;0.3;2.0;70.45157970283564;800.66;262.5515797028356;192.1;0.03;38.0;142.0;0.98892;3.41;0.41;12.9;7
478;Chardonnay;7.7;0.27;0.49;3.8;22.143510634967267;1382.43;287.20351063496724;265.06;0.037;46.0;139.0;0.99116;3.04;0.38;11.6;6
479;Chardonnay;6.9;0.24;0.36;20.8;65.64798911350263;1402.87;222.88798911350264;157.24;0.031;40.0;139.0;0.9975;3.2;0.33;11.0;6
480;Pinot noir;6.7;0.35;0.32;9.0;5.727664195512472;747.04;226.87766419551247;221.15;0.032;29.0;113.0;0.99188;3.13;0.65;12.9;99
481;Pinot noir;6.6;0.19;0.99;1.2;8.568836777154443;708.74;215.09883677715445;206.53;0.122;45.0;129.0;0.9936;3.09;0.31;8.7;6
482;Cabernet Sauvignon;6.6;0.2;0.38;7.9;86.74486515499366;494.91;198.77486515499368;112.03;0.052;30.0;145.0;0.9947;3.32;0.56;11.0;7
483;Pinot noir;5.8;0.18;0.37;1.1;12.634136679649988;1117.75;216.48413667965;203.85;0.036;31.0;96.0;0.98942;3.16;0.48;12.0;6
484;Gamay;5.6;0.19;0.31;2.7;11.149860136438594;764.95;280.34986013643856;269.2;0.027;11.0;100.0;0.98964;3.46;0.4;13.2;2
485;Pinot noir;7.2;0.19;0.31;6.3;25.091990532650133;1411.14;241.79199053265012;216.7;0.034;17.0;103.0;0.99305;3.15;0.52;11.4;7
486;Merlot;5.5;0.28;0.21;1.6;35.90235684197306;882.15;184.11235684197305;148.21;0.032;23.0;85.0;0.99027;3.42;0.42;12.5;5
487;Cabernet Sauvignon;7.2;0.28;0.54;16.7;76.28110951254334;951.29;234.22110951254334;157.94;0.045;54.0;200.0;0.999;3.08;0.49;9.5;6
488;Pinot noir;6.3;0.2;0.3;5.9;80.38520335698759;910.2;237.26520335698757;156.88;0.034;35.0;152.0;0.99642;3.47;0.4;8.5;6
489;Chardonnay;7.2;0.23;0.39;14.2;35.203757960884595;979.22;139.0437579608846;103.84;0.058;49.0;192.0;0.9979;2.98;0.48;9.0;7
490;Pinot noir;7.6;0.24;0.44;3.8;16.086564731519594;1282.34;209.6765647315196;193.59;0.037;49.0;146.0;0.9911;3.06;0.37;11.6;6
491;Merlot;6.7;0.16;0.37;1.3;90.8802862681204;756.9;272.7302862681204;181.85;0.036;45.0;125.0;0.98964;3.19;0.51;12.4;7
492;Cabernet Sauvignon;5.5;0.19;0.27;0.9;28.781208495255385;1154.83;192.4012084952554;163.62;0.04;52.0;103.0;0.99026;3.5;0.39;11.2;5
493;Merlot;7.2;0.34;0.3;8.4;78.091270336479;1299.12;326.851270336479;248.76;0.051;40.0;167.0;0.99756;3.48;0.62;9.7;5
494;Chardonnay;6.0;0.34;0.32;3.8;95.35813963445511;961.47;371.84813963445515;276.49;0.044;13.0;116.0;0.99108;3.39;0.44;11.8;7
495;Pinot noir;7.2;0.24;0.36;2.0;23.6820419228564;1266.19;320.0620419228564;296.38;0.029;21.0;63.0;0.99076;3.13;0.63;12.5;6
496;Merlot;8.1;0.2;0.28;0.9;26.046373015634394;1029.81;280.71637301563436;254.67;0.023;49.0;87.0;0.99062;2.92;0.36;11.1;6
497;Cabernet Sauvignon;7.5;0.16;0.38;12.7;87.0064664223009;569.06;351.90646642230087;264.9;0.043;70.5;163.0;0.99706;3.15;0.82;10.4;7
498;Chardonnay;6.4;0.36;0.2;5.7;62.03689546999699;1044.12;329.85689546999697;267.82;0.118;61.0;172.0;0.9946;3.24;0.43;9.5;6
499;Cabernet Sauvignon;6.3;0.24;0.55;8.1;44.748284469199604;923.32;559.2682844691996;514.52;0.04;67.0;216.0;0.99596;3.24;0.5;9.2;5
500;Chardonnay;6.6;0.23;0.2;11.4;94.11007173534028;1068.61;275.2100717353403;181.1;0.044;45.0;131.0;0.99604;2.96;0.51;9.7;6
501;Chardonnay;6.9;0.19;0.39;8.0;85.19151299920014;1059.77;301.50151299920014;216.31;0.028;22.0;84.0;0.994;3.11;0.66;10.8;6
502;Merlot;5.8;0.26;0.29;1.0;29.37198824628402;1182.9;255.77198824628402;226.4;0.042;35.0;101.0;0.99044;3.36;0.48;11.4;7
503;Chardonnay;6.4;0.28;0.23;6.0;54.83183309945747;979.48;255.12183309945746;200.29;0.051;50.0;162.0;0.994;3.15;0.52;10.2;5
504;Pinot noir;6.3;0.24;0.29;13.7;24.466203520910913;404.16;245.7562035209109;221.29;0.035;53.0;134.0;0.99567;3.17;0.38;10.6;6
505;Cabernet Sauvignon;6.7;0.2;0.3;1.4;23.920251402208727;964.05;239.55025140220872;215.63;0.025;17.0;76.0;0.99104;3.11;0.44;11.0;6
506;Merlot;6.9;0.36;0.28;13.55;5.336844892487402;1152.91;174.84684489248738;169.51;0.048;51.0;189.0;0.99782;3.0;0.6;9.5;7
507;Chardonnay;6.8;0.26;0.24;7.8;60.409078983978546;1092.07;345.7390789839785;285.33;0.052;54.0;214.0;0.9961;3.13;0.47;8.9;5
508;Cabernet Sauvignon;7.0;0.2;0.33;4.7;75.34546228062192;928.48;289.7754622806219;214.43;0.03;25.0;76.0;0.99202;2.88;0.54;10.5;6
509;Cabernet Sauvignon;6.3;0.695;0.55;12.9;60.50624051389415;1242.68;193.70624051389413;133.2;0.056;58.0;252.0;0.99806;3.29;0.49;8.7;5
510;Merlot;7.2;0.23;0.39;14.2;48.87508722848195;975.5;241.61508722848197;192.74;0.058;49.0;192.0;0.9979;2.98;0.48;9.0;7
511;Cabernet Sauvignon;7.6;0.29;0.26;6.5;88.52541570973368;739.03;260.7854157097337;172.26;0.042;32.0;160.0;0.9944;3.14;0.47;10.7;99
512;Merlot;6.9;0.25;0.35;9.2;13.850548666257778;1191.39;248.27054866625775;234.42;0.034;42.0;150.0;0.9947;3.21;0.36;11.5;6
513;Merlot;7.1;0.27;0.24;12.6;20.151609896141142;1182.71;252.23160989614115;232.08;0.044;48.0;118.0;0.99726;3.04;0.56;10.0;7
514;Chardonnay;7.0;0.45;0.34;19.8;29.29557567809419;992.99;166.7555756780942;137.46;0.04;12.0;67.0;0.9976;3.07;0.38;11.0;6
515;Pinot noir;6.9;0.4;0.43;6.2;88.74823596514375;622.88;279.98823596514376;191.24;0.065;42.0;178.0;0.99552;3.11;0.53;9.4;5
516;Pinot noir;7.2;0.17;0.37;6.9;80.82840273504378;513.73;266.4084027350438;185.58;0.059;47.0;128.0;0.99322;3.08;0.46;11.0;7
517;Chardonnay;8.0;0.24;0.36;1.5;60.93432558807198;1117.73;282.704325588072;221.77;0.047;17.0;129.0;0.9948;3.2;0.54;10.0;6
518;Chardonnay;5.6;0.12;0.33;2.9;44.936698377892846;1023.58;408.4266983778929;363.49;0.044;21.0;73.0;0.98896;3.17;0.32;12.9;8
519;Chardonnay;6.7;0.47;0.29;4.75;29.972062155898037;708.74;276.402062155898;246.43;0.034;29.0;134.0;0.99056;3.29;0.46;13.0;7
520;Cabernet Sauvignon;6.6;0.17;0.35;2.6;87.43023147641142;663.94;513.8202314764114;426.39;0.03;33.0;78.0;0.99146;3.22;0.72;11.3;6
521;Merlot;7.5;0.29;0.67;8.1;33.09911575668592;779.77;228.6291157566859;195.53;0.037;53.0;166.0;0.9966;2.9;0.41;8.9;99
522;Cabernet Sauvignon;6.2;0.24;0.28;12.2;78.38859106488516;1118.15;310.8885910648852;232.5;0.049;54.0;133.0;0.9952;3.19;0.37;10.7;6
523;Cabernet Sauvignon;6.3;0.28;0.47;11.2;37.82519926291719;878.52;314.2551992629172;276.43;0.04;61.0;183.0;0.99592;3.12;0.51;9.5;6
524;Pinot noir;6.3;0.26;0.21;4.0;59.06585304043859;518.51;185.8558530404386;126.79;0.03;24.0;125.0;0.9915;3.06;0.34;10.7;6
525;Merlot;6.8;0.15;0.41;12.9;1.5837840460425578;765.75;198.21378404604255;196.63;0.044;79.5;183.0;0.99742;3.24;0.78;10.2;6
526;Chardonnay;6.8;0.27;0.32;1.5;8.525723363226167;681.47;274.8757233632262;266.35;0.044;19.0;142.0;0.9921;3.1;0.43;9.9;6
527;Merlot;6.6;0.25;0.25;1.3;84.578459216834;403.65;372.758459216834;288.18;0.04;28.0;85.0;0.98984;2.87;0.48;11.2;6
528;Merlot;7.5;0.26;0.26;18.35;74.44178408588688;779.37;340.9917840858869;266.55;0.084;33.0;139.0;1.0011;3.17;0.39;8.8;5
529;Chardonnay;8.0;0.23;0.46;1.5;63.150151344175775;985.0;139.44015134417577;76.29;0.03;30.0;125.0;0.9907;3.23;0.47;12.5;6
530;Merlot;8.0;0.55;0.42;12.6;87.75095101426001;1017.2;313.43095101426;225.68;0.211;37.0;213.0;0.9988;2.99;0.56;9.3;5
531;Cabernet Sauvignon;6.4;0.28;0.44;7.1;55.82404998259014;1451.1;224.35404998259014;168.53;0.048;49.0;179.0;0.99528;3.15;0.48;9.2;5
532;Merlot;6.0;0.38;0.26;6.0;75.18926493385982;1172.52;329.04926493385983;253.86;0.034;42.0;134.0;0.9912;3.38;0.38;12.3;7
533;Pinot noir;6.8;0.3;0.35;2.8;19.59542324908121;1125.79;347.1654232490812;327.57;0.038;10.0;164.0;0.9912;3.09;0.53;12.0;6
534;Chardonnay;6.8;0.32;0.39;9.6;28.55455366110552;966.71;191.33455366110553;162.78;0.026;34.0;124.0;0.99286;3.18;0.35;12.1;6
535;Chardonnay;6.5;0.24;0.39;17.3;46.183427907200056;1111.76;375.87342790720004;329.69;0.052;22.0;126.0;0.99888;3.11;0.47;9.2;6
536;Chardonnay;6.9;0.34;0.74;11.2;20.350873264026127;815.01;437.2508732640261;416.9;0.069;44.0;150.0;0.9968;3.0;0.81;9.2;5
537;Pinot noir;6.4;0.18;0.31;1.6;31.837732017313314;722.75;262.95773201731333;231.12;0.049;36.0;127.0;0.9934;3.6;0.67;10.4;7
538;Gamay;6.5;0.19;0.27;4.9;85.68237616636118;1037.71;304.2323761663612;218.55;0.037;13.0;101.0;0.9916;3.17;0.41;11.8;2
539;Cabernet Sauvignon;9.0;0.245;0.38;5.9;52.9189238101729;685.76;319.7989238101729;266.88;0.045;52.0;159.0;0.995;2.93;0.35;10.2;6
540;Cabernet Sauvignon;6.6;0.26;0.38;6.5;58.428945615406406;562.27;355.0389456154064;296.61;0.17;68.0;201.0;0.9956;3.19;0.38;9.4;6
541;Cabernet Sauvignon;6.0;0.28;0.52;6.2;55.36402122169842;847.92;231.39402122169844;176.03;0.028;37.0;104.0;0.99161;3.28;0.51;11.8;7
542;Cabernet Sauvignon;6.8;0.11;0.42;1.1;91.12877514271008;892.39;143.10877514271007;51.98;0.042;51.0;132.0;0.99059;3.18;0.74;11.3;7
543;Cabernet Sauvignon;6.2;0.25;0.54;7.0;25.165493968506503;950.56;181.9554939685065;156.79;0.046;58.0;176.0;0.99454;3.19;0.7;10.4;5
544;Chardonnay;6.8;0.32;0.37;3.4;56.73073344185744;620.48;146.86073344185743;90.13;0.023;19.0;87.0;0.9902;3.14;0.53;12.7;6
545;Cabernet Sauvignon;8.7;0.24;0.35;0.6;68.06199582176815;1061.59;304.22199582176813;236.16;0.042;11.0;71.0;0.9926;3.08;0.38;10.6;5
546;Chardonnay;5.3;0.31;0.38;10.5;70.58228828026495;666.55;274.172288280265;203.59;0.031;53.0;140.0;0.99321;3.34;0.46;11.7;6
547;Merlot;7.1;0.09;0.3;6.2;96.14292296264395;1109.56;299.86292296264395;203.72;0.032;24.0;134.0;0.993;2.99;0.39;10.9;6
548;Pinot noir;6.6;0.26;0.24;7.2;83.16530552941556;510.57;459.58530552941556;376.42;0.038;28.0;137.0;0.9952;3.35;0.6;10.4;6
549;Cabernet Sauvignon;6.1;0.16;0.37;1.1;57.48364334467239;556.5;397.07364334467235;339.59;0.031;37.0;97.0;0.9922;3.4;0.58;10.5;6
550;Pinot noir;6.0;0.16;0.3;6.7;31.38943818004798;1164.64;345.199438180048;313.81;0.043;43.0;153.0;0.9951;3.63;0.46;10.6;5
551;Cabernet Sauvignon;7.0;0.26;0.59;1.4;34.46991032468843;967.81;281.76991032468845;247.3;0.037;40.0;120.0;0.9918;3.34;0.41;11.1;7
552;Merlot;6.6;0.21;0.29;5.35;44.914978588549616;553.17;352.4849785885496;307.57;0.029;43.0;106.0;0.99112;2.93;0.43;11.5;7
553;Cabernet Sauvignon;6.7;0.27;0.33;3.6;27.716537575136;1113.9;224.24653757513602;196.53;0.034;9.0;45.0;0.99144;3.08;0.4;10.5;6
554;Merlot;7.1;0.14;0.35;1.4;8.129405206916774;1060.95;289.3094052069168;281.18;0.039;24.0;128.0;0.99212;2.97;0.68;10.4;5
555;Cabernet Sauvignon;8.1;0.29;0.49;7.1;64.50738682494884;731.99;412.39738682494885;347.89;0.042;22.0;124.0;0.9944;3.14;0.41;10.8;6
556;Pinot noir;9.2;0.32;0.42;1.3;90.32013958278327;1192.65;261.6801395827833;171.36;0.046;14.0;186.0;0.9949;3.08;0.48;9.6;5
557;Chardonnay;6.7;0.19;0.36;1.1;0.5087437921708737;857.38;157.72874379217086;157.22;0.026;63.0;143.0;0.9912;3.27;0.48;11.0;6
558;Merlot;6.3;0.29;0.23;14.2;70.91056879231445;1019.31;264.78056879231445;193.87;0.037;24.0;99.0;0.99528;3.08;0.38;10.6;6
559;Merlot;5.7;0.27;0.16;9.0;51.90038577483433;810.99;246.21038577483432;194.31;0.053;32.0;111.0;0.99474;3.36;0.37;10.4;6
560;Cabernet Sauvignon;6.1;0.34;0.46;4.7;16.879204009651183;1198.78;339.7292040096512;322.85;0.029;21.0;94.0;0.991;3.29;0.62;12.3;6
561;Pinot noir;6.4;0.21;0.28;5.9;70.80299444984306;1002.41;211.24299444984305;140.44;0.047;29.0;101.0;0.99278;3.15;0.4;11.0;6
562;Cabernet Sauvignon;8.4;0.17;0.31;5.4;84.27607621959923;942.97;327.7460762195992;243.47;0.052;47.0;150.0;0.9953;3.24;0.38;9.8;5
563;Chardonnay;7.1;0.47;0.24;6.0;20.12622984150991;1001.15;429.4262298415099;409.3;0.044;11.0;77.0;0.9956;3.21;0.56;9.7;5
564;Cabernet Sauvignon;5.7;0.26;0.24;17.8;98.48937931430933;780.92;324.4993793143093;226.01;0.059;23.0;124.0;0.99773;3.3;0.5;10.1;5
565;Chardonnay;7.3;0.25;0.36;2.1;52.143025289840615;820.75;317.7830252898406;265.64;0.034;30.0;177.0;0.99085;3.25;0.4;11.9;8
566;Cabernet Sauvignon;6.9;0.17;0.22;4.6;20.223318099010612;1158.43;328.2233180990106;308.0;0.064;55.0;152.0;0.9952;3.29;0.37;9.3;6
567;Chardonnay;6.6;0.39;0.22;4.0;89.91841496921778;1160.15;366.5884149692178;276.67;0.038;17.0;98.0;0.99018;3.25;0.53;13.0;7
568;Chardonnay;6.0;0.37;0.32;1.0;48.46539243011387;964.14;292.0053924301139;243.54;0.053;31.0;218.5;0.9924;3.29;0.72;9.8;6
569;Merlot;6.1;0.35;0.24;2.3;83.15260591703111;853.15;327.62260591703114;244.47;0.034;25.0;133.0;0.9906;3.34;0.59;12.0;7
570;Cabernet Sauvignon;6.9;0.16;0.35;1.3;27.068291735498352;846.98;332.86829173549836;305.8;0.043;21.0;182.0;0.9927;3.25;0.62;10.8;6
571;Pinot noir;6.4;0.22;0.56;14.5;22.435110679206527;1018.01;220.59511067920653;198.16;0.055;27.0;159.0;0.998;2.98;0.4;9.1;5
572;Merlot;5.7;0.31;0.28;4.1;42.40996230187335;1319.98;220.59996230187335;178.19;0.03;22.0;86.0;0.99062;3.31;0.38;11.7;7
573;Pinot noir;6.0;0.2;0.26;1.1;55.95818266957284;1232.37;403.32818266957287;347.37;0.033;38.0;67.0;0.98954;3.14;0.38;11.5;6
574;Chardonnay;6.5;0.16;0.33;1.0;80.9276527919916;706.98;263.5576527919916;182.63;0.027;23.0;75.0;0.9908;3.3;0.39;11.4;7
575;Merlot;6.7;0.25;0.26;13.5;88.68754313202972;749.69;303.1275431320297;214.44;0.06;50.0;156.0;0.99784;3.39;0.46;9.9;6
576;Chardonnay;6.5;0.25;0.5;7.6;23.74208950723451;874.3;181.51208950723452;157.77;0.047;54.0;184.0;0.99572;3.17;0.45;9.2;5
577;Pinot noir;6.7;0.24;0.41;9.4;99.65869986252913;701.89;413.15869986252915;313.5;0.04;49.0;166.0;0.9954;3.12;0.61;9.9;6
578;Merlot;6.8;0.46;0.26;6.3;58.12996913314621;655.09;169.66996913314622;111.54;0.147;49.0;159.0;0.99434;3.14;0.47;10.0;5
579;Pinot noir;7.1;0.39;0.35;12.5;85.84160366903268;978.47;340.5916036690327;254.75;0.044;26.0;72.0;0.9941;3.17;0.29;11.6;5
580;Chardonnay;6.6;0.26;0.52;8.2;77.18186619071894;829.1;184.50186619071894;107.32;0.047;52.0;191.0;0.99541;3.16;0.47;9.5;6
581;Pinot noir;6.0;0.26;0.24;1.3;86.33133023988971;745.91;285.2913302398897;198.96;0.053;66.0;150.0;0.9924;3.21;0.62;10.4;6
582;Chardonnay;8.0;0.24;0.26;1.7;10.817581248755992;649.33;306.307581248756;295.49;0.033;36.0;136.0;0.99316;3.44;0.51;10.4;7
583;Merlot;6.8;0.2;0.36;1.6;9.9794217750104;708.56;246.8794217750104;236.9;0.028;7.0;46.0;0.99175;3.21;0.6;10.9;6
584;Cabernet Sauvignon;5.6;0.49;0.13;4.5;81.33082261476201;1197.49;439.630822614762;358.3;0.039;17.0;116.0;0.9907;3.42;0.9;13.7;7
585;Merlot;6.7;0.16;0.28;2.5;4.207921469756637;830.31;228.50792146975664;224.3;0.046;40.0;153.0;0.9921;3.38;0.51;11.4;7
586;Merlot;6.8;0.3;0.26;20.3;26.855578130039948;714.83;243.97557813003996;217.12;0.037;45.0;150.0;0.99727;3.04;0.38;12.3;6
587;Chardonnay;7.3;0.17;0.36;8.2;85.23777071743724;927.59;372.52777071743725;287.29;0.028;44.0;111.0;0.99272;3.14;0.41;12.4;6
588;Chardonnay;6.2;0.23;0.36;17.2;18.839367166583965;834.07;358.08936716658394;339.25;0.039;37.0;130.0;0.99946;3.23;0.43;8.8;6
589;Merlot;7.0;0.21;0.31;6.0;24.41162690198323;960.9;292.08162690198327;267.67;0.046;29.0;108.0;0.9939;3.26;0.5;10.8;6
590;Chardonnay;6.8;0.3;0.23;4.6;74.62570688982895;917.32;299.5457068898289;224.92;0.061;50.5;238.5;0.9958;3.32;0.6;9.5;5
591;Merlot;6.0;0.17;0.29;9.7;84.58876984411677;1224.87;328.73876984411675;244.15;0.044;33.0;98.0;0.99536;3.12;0.36;9.2;6
592;Pinot noir;5.2;0.17;0.27;0.7;66.8480017182591;879.28;353.3080017182591;286.46;0.03;11.0;68.0;0.99218;3.3;0.41;9.8;5
593;Cabernet Sauvignon;7.7;0.32;0.61;11.8;24.961528731000236;979.73;330.68152873100024;305.72;0.041;66.0;188.0;0.99794;3.0;0.54;9.3;5
594;Pinot noir;5.7;0.27;0.16;9.0;8.64615136642114;772.21;291.05615136642115;282.41;0.053;32.0;111.0;0.99474;3.36;0.37;10.4;6
595;Merlot;7.6;0.14;0.74;1.6;66.36873733207146;991.32;280.59873733207144;214.23;0.04;27.0;103.0;0.9916;3.07;0.4;10.8;7
596;Chardonnay;6.0;0.28;0.24;17.8;51.02811839348455;593.93;362.02811839348453;311.0;0.047;42.0;111.0;0.99896;3.1;0.45;8.9;6
597;Merlot;6.6;0.64;0.28;4.4;0.3019435719202268;766.31;243.93194357192021;243.63;0.032;19.0;78.0;0.99036;3.11;0.62;12.9;6
598;Chardonnay;7.7;0.3;0.42;14.3;62.374978552597184;1400.0;312.2849785525972;249.91;0.045;45.0;213.0;0.9991;3.18;0.63;9.2;5
599;Pinot noir;7.2;0.33;0.22;4.5;43.20652025901091;563.16;330.9765202590109;287.77;0.031;10.0;73.0;0.99076;2.97;0.52;12.2;7
600;Pinot noir;8.3;0.41;0.51;2.0;26.687002462438535;750.88;271.4770024624385;244.79;0.046;11.0;207.0;0.993;3.02;0.55;11.4;5
601;Merlot;6.8;0.25;0.37;3.1;43.29933663978397;1211.54;303.62933663978396;260.33;0.026;29.0;93.0;0.99035;3.14;0.45;12.2;6
602;Cabernet Sauvignon;6.9;0.2;0.36;1.5;64.409982316147;1219.39;319.41998231614696;255.01;0.031;38.0;147.0;0.9931;3.35;0.56;11.0;6
603;Pinot noir;6.1;0.25;0.18;10.5;49.450180403614176;694.95;154.62018040361417;105.17;0.049;41.0;124.0;0.9963;3.14;0.35;10.5;5
604;Pinot noir;7.1;0.37;0.67;10.5;60.751206965570425;1011.01;275.79120696557044;215.04;0.045;49.0;155.0;0.9975;3.16;0.44;8.7;5
